timestamp,message
1765819851804,"2025/12/15 17:30:51 [51s] Target RPS: 6 | Total: 162 | Success: 162 | Failures: 0
"
1765819861468,"2025/12/15 17:31:01 [52s] Target RPS: 6 | Total: 168 | Success: 168 | Failures: 0
"
1765819871115,"2025/12/15 17:31:11 [53s] Target RPS: 6 | Total: 174 | Success: 174 | Failures: 0
"
1765819871732,"2025/12/15 17:31:11 [54s] Target RPS: 6 | Total: 180 | Success: 180 | Failures: 0
"
1765819881402,"2025/12/15 17:31:21 [55s] Target RPS: 6 | Total: 186 | Success: 186 | Failures: 0
"
1765819881981,"2025/12/15 17:31:21 [56s] Target RPS: 6 | Total: 192 | Success: 192 | Failures: 0
"
1765819891633,"2025/12/15 17:31:31 [57s] Target RPS: 7 | Total: 198 | Success: 198 | Failures: 0
"
1765819895393,"2025/12/15 17:31:35 Request failed: InvokeAgentRuntime failed: operation error Bedrock AgentCore: InvokeAgentRuntime, https response error StatusCode: 0, RequestID: , canceled, context deadline exceeded
"
1765819895399,"END RequestId: 57084a39-5a65-42e6-949b-65dd1a48e811
"
1765819895399,"REPORT RequestId: 57084a39-5a65-42e6-949b-65dd1a48e811	Duration: 300000.00 ms	Billed Duration: 300073 ms	Memory Size: 512 MB	Max Memory Used: 36 MB	Init Duration: 72.89 ms	Status: timeout
"
